,Year,January: Land,February: Land,March: Land,May: Land,June: Land,July: Land,August: Land,September: Land,October: Land,November: Land,December: Land,January- February (winter): Land,March-may (pre-monsoon): Land,June- September (monsoon): Land,October- December (post-monsoon): Land,January - December (Whole Year): Land
0,1891,0,0,0,0,0,1,1,0,0,1,0,0,0,2,1,3
1,1892,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
2,1893,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
3,1894,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,3
4,1895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1897,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
7,1898,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,3
8,1899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1903,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
13,1904,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
14,1905,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
15,1906,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
16,1907,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2
17,1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1911,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
21,1912,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2
22,1913,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
23,1914,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
24,1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1916,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
26,1917,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
27,1918,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
28,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1920,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
30,1921,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
31,1922,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
32,1923,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,3
33,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1925,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
35,1926,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,3
36,1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1928,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2
38,1929,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
39,1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1933,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2
43,1934,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
44,1935,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
45,1936,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
46,1937,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
47,1938,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
48,1939,0,0,0,0,1,2,0,1,0,0,0,0,0,4,0,4
49,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1941,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
51,1942,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2
52,1943,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
53,1944,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
54,1945,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
55,1946,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
56,1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1950,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,3
60,1951,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
61,1952,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2
62,1953,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
63,1954,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
64,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1959,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2
69,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1961,0,0,0,0,0,2,0,0,1,0,0,0,0,2,1,3
71,1962,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
72,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1964,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
74,1965,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
75,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1967,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
77,1968,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
78,1969,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
79,1970,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
80,1971,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2
81,1972,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2
82,1973,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2
83,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1975,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
85,1976,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2
86,1977,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
87,1978,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,3
88,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1980,0,0,0,0,1,0,2,1,0,0,0,0,0,4,0,4
90,1981,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
91,1982,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,3
92,1983,0,0,0,0,0,0,1,1,0,0,1,0,0,2,1,3
93,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1985,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2
95,1986,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2
96,1987,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,3
97,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1990,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2
100,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1996,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
106,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1998,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
108,1999,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
109,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
110,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2004,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
114,2005,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
115,2006,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
116,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
118,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2011,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
121,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
123,2014,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
124,2015,0,0,0,0,0,2,1,1,0,0,0,0,0,4,0,4
125,2016,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2
