,Year,January: Total,February: Total,March: Total,May: Total,June: Total,July: Total,August: Total,September: Total,October: Total,November: Total,December: Total,January- February (winter): Total,March-may (pre-monsoon): Total,June- September (monsoon): Total,October- December (post-monsoon): Total,January - December (Whole Year): Total
0,1891,0,0,0,1,0,1,2,5,1,3,0,0,1,8,4,13
1,1892,0,0,0,0,2,3,1,2,3,0,0,0,1,8,3,12
2,1893,0,0,0,1,2,1,0,3,2,2,0,0,2,6,4,12
3,1894,0,0,0,0,2,4,1,1,3,0,0,0,1,8,3,12
4,1895,0,0,0,0,3,2,1,3,0,0,1,0,1,9,1,11
5,1896,0,0,0,1,2,2,3,1,0,1,0,0,1,8,1,10
6,1897,0,0,0,1,1,3,1,3,2,0,1,0,1,8,3,12
7,1898,0,0,0,2,1,2,4,2,1,1,0,0,2,9,2,13
8,1899,0,0,0,0,0,1,2,2,1,0,0,0,1,5,1,7
9,1900,0,0,0,0,2,2,3,1,2,0,0,0,0,8,2,10
10,1901,0,0,0,0,0,0,0,1,2,2,0,0,1,1,4,6
11,1902,0,0,0,2,1,2,2,2,3,0,1,0,2,7,4,13
12,1903,0,0,0,1,2,3,2,1,2,3,0,0,1,8,5,14
13,1904,0,0,0,1,1,2,2,1,1,1,0,0,1,6,2,9
14,1905,0,0,0,0,1,3,0,3,2,0,1,0,0,7,3,10
15,1906,1,0,0,0,1,3,1,2,2,0,1,1,0,7,3,11
16,1907,0,0,1,1,4,0,3,1,2,3,0,0,2,8,5,15
17,1908,0,0,0,0,1,0,3,1,1,2,1,0,0,5,4,9
18,1909,0,0,0,2,0,1,0,2,2,0,1,0,2,3,3,8
19,1910,0,0,0,0,0,1,1,1,0,2,0,0,1,3,2,6
20,1911,0,0,0,1,2,0,1,1,1,0,0,0,2,4,1,7
21,1912,0,0,0,0,0,1,2,2,2,1,1,0,0,5,4,9
22,1913,0,0,0,0,0,3,3,0,2,1,1,0,0,6,4,10
23,1914,0,0,0,1,2,1,1,1,1,0,1,0,1,5,2,8
24,1915,0,0,0,0,1,0,2,2,1,2,1,0,0,5,4,9
25,1916,0,0,0,2,2,0,2,1,4,3,0,0,2,5,7,14
26,1917,0,0,0,1,3,1,1,1,3,0,0,0,1,6,3,10
27,1918,1,0,0,1,1,1,2,1,1,2,1,1,1,5,4,11
28,1919,0,0,0,1,0,2,4,1,0,2,1,0,1,7,3,11
29,1920,0,0,0,0,2,2,2,1,0,1,0,0,1,7,1,9
30,1921,0,0,0,0,0,1,1,3,2,1,1,0,1,5,4,10
31,1922,0,0,0,0,0,2,2,2,1,3,1,0,2,6,5,13
32,1923,1,0,0,1,0,3,4,2,1,1,2,1,2,9,4,16
33,1924,0,0,1,1,1,0,3,1,3,2,0,0,3,5,5,13
34,1925,1,0,1,1,3,3,2,2,2,3,1,1,3,10,6,20
35,1926,0,0,0,1,0,1,2,5,1,2,1,0,1,8,4,13
36,1927,0,0,0,4,1,4,3,2,2,2,0,0,4,10,4,18
37,1928,0,0,1,0,2,2,3,0,3,1,1,0,1,7,5,13
38,1929,1,0,0,1,2,4,3,1,1,2,0,1,1,10,3,15
39,1930,0,0,0,2,3,2,0,1,2,3,1,0,2,6,6,14
