,Year,January: BOB,February: BOB,February: BOB.1,March: BOB,May: BOB,June: BOB,July: BOB,August: BOB,September: BOB,October: BOB,November: BOB,December: BOB,January- February (winter): BOB,March-may (pre-monsoon): BOB,June- September (monsoon): BOB,October- December (post-monsoon): BOB,January - December (Whole Year): BOB
0,1891,0,0,0,0,1,0,0,1,5,1,1,0,0,1,6,2,9
1,1892,0,0,0,0,0,1,1,1,2,3,0,0,0,0,5,3,8
2,1893,0,0,0,0,1,1,1,0,3,2,1,0,0,2,5,3,10
3,1894,0,0,0,0,0,1,3,0,1,2,0,0,0,1,5,2,8
4,1895,0,0,0,0,0,2,2,1,3,0,0,1,0,1,8,1,10
5,1896,0,0,0,0,0,2,2,3,1,0,1,0,0,0,8,1,9
6,1897,0,0,0,0,1,1,1,1,2,2,0,1,0,1,5,3,9
7,1898,0,0,0,0,1,1,1,2,2,1,1,0,0,1,6,2,9
8,1899,0,0,0,0,0,0,1,2,2,1,0,0,0,1,5,1,7
9,1900,0,0,0,0,0,2,2,3,1,2,0,0,0,0,8,2,10
10,1901,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,4,5
11,1902,0,0,0,0,1,0,2,2,2,1,0,0,0,1,6,1,8
12,1903,0,0,0,0,0,1,2,2,0,2,3,0,0,0,5,5,10
13,1904,0,0,0,0,1,1,1,2,1,1,1,0,0,1,5,2,8
14,1905,0,0,0,0,0,1,3,0,2,1,0,1,0,0,6,2,8
15,1906,1,0,0,0,0,1,2,1,2,1,0,1,1,0,6,2,9
16,1907,0,0,0,1,1,2,0,2,0,2,2,0,0,2,4,4,10
17,1908,0,0,0,0,0,1,0,3,1,0,2,1,0,0,5,3,8
18,1909,0,0,0,0,2,0,1,0,2,2,0,1,0,2,3,3,8
19,1910,0,0,0,0,0,0,1,1,1,0,2,0,0,1,3,2,6
20,1911,0,0,0,0,0,2,0,1,1,0,0,0,0,1,4,0,5
21,1912,0,0,0,0,0,0,1,2,1,1,0,1,0,0,4,2,6
22,1913,0,0,0,0,0,0,3,2,0,2,1,1,0,0,5,4,9
23,1914,0,0,0,0,1,2,1,0,1,1,0,1,0,1,4,2,7
24,1915,0,0,0,0,0,1,0,2,2,1,2,1,0,0,5,4,9
25,1916,0,0,0,0,1,2,0,1,1,4,3,0,0,1,4,7,12
26,1917,0,0,0,0,1,2,0,1,1,2,0,0,0,1,4,2,7
27,1918,1,0,0,0,1,1,1,1,1,1,2,1,1,1,4,4,10
28,1919,0,0,0,0,0,0,2,4,1,0,2,1,0,0,7,3,10
29,1920,0,0,0,0,0,1,1,2,1,0,0,0,0,1,5,0,6
30,1921,0,0,0,0,0,0,1,1,2,2,1,1,0,1,4,4,9
31,1922,0,0,0,0,0,0,2,1,2,1,3,1,0,1,5,5,11
32,1923,1,0,0,0,1,0,1,3,2,1,1,2,1,2,6,4,13
33,1924,0,0,0,1,1,1,0,3,1,3,2,0,0,3,5,5,13
34,1925,1,0,0,1,1,1,2,2,1,2,3,1,1,3,6,6,16
35,1926,0,0,0,0,1,0,1,1,2,1,2,1,0,1,4,4,9
36,1927,0,0,0,0,3,1,4,3,2,2,1,0,0,3,10,3,16
37,1928,0,0,0,1,0,1,2,2,0,2,1,1,0,1,5,4,10
38,1929,1,0,0,0,1,2,3,3,0,1,2,0,1,1,8,3,13
39,1930,0,0,0,0,2,1,2,0,1,1,3,1,0,2,4,5,11
40,1931,0,0,0,0,1,0,0,4,1,3,0,2,0,1,5,5,11
41,1932,0,0,0,0,1,1,3,0,2,2,2,0,0,1,6,4,11
42,1933,0,0,0,0,1,1,3,2,3,1,1,1,0,1,9,3,13
43,1934,1,0,0,0,0,2,1,3,2,1,2,0,1,1,8,3,13
44,1935,0,0,0,0,0,1,2,1,2,2,2,1,0,1,6,5,12
45,1936,0,0,0,0,1,2,2,2,3,1,1,2,0,2,9,4,15
46,1937,0,0,0,0,0,1,3,1,4,2,2,1,0,2,9,5,16
47,1938,0,0,0,1,1,0,0,1,1,1,2,0,0,2,2,3,7
48,1939,1,0,0,0,0,0,2,3,3,1,1,1,1,1,8,3,13
49,1940,0,0,0,0,1,2,1,4,2,1,2,1,0,1,9,4,14
50,1941,0,0,0,0,1,4,2,2,2,1,2,1,0,1,10,4,15
51,1942,0,0,0,0,0,1,3,2,2,2,1,0,0,0,8,3,11
52,1943,0,0,0,0,2,0,4,1,1,3,1,0,0,2,6,4,12
53,1944,0,1,0,0,1,1,4,2,1,3,2,1,1,1,8,6,16
54,1945,0,0,0,0,0,0,3,1,3,1,2,2,0,1,7,5,13
55,1946,0,0,0,0,0,0,2,3,2,2,3,2,0,0,7,7,14
56,1947,0,1,0,0,0,2,2,2,2,3,1,2,1,1,8,6,16
57,1948,1,0,0,0,1,1,2,2,2,3,0,0,1,2,7,3,13
58,1949,0,0,0,0,2,1,1,1,3,2,0,0,0,3,6,2,11
59,1950,0,0,0,0,1,2,2,1,3,1,1,1,0,2,8,3,13
60,1951,0,0,0,0,0,2,3,3,0,1,1,1,0,0,8,3,11
61,1952,0,0,0,0,2,1,3,2,0,4,2,0,0,2,6,6,14
62,1953,1,0,0,0,0,1,0,2,1,1,2,0,1,1,4,3,9
63,1954,0,0,0,0,0,0,2,1,3,2,0,2,0,0,6,4,10
64,1955,0,0,0,0,2,2,0,1,3,3,2,0,0,2,6,5,13
65,1956,0,1,0,0,1,2,1,3,1,1,1,0,1,2,7,2,12
66,1957,0,0,0,0,0,0,0,1,2,0,0,1,0,0,3,1,4
67,1958,0,0,0,0,2,0,2,1,2,3,2,0,0,2,5,5,12
68,1959,0,0,0,0,0,2,3,1,1,1,1,1,0,0,7,3,10
69,1960,0,0,0,0,1,1,0,3,1,2,3,0,0,1,5,5,11
70,1961,1,1,0,0,2,2,1,0,4,1,0,0,2,2,7,1,12
71,1962,0,0,0,0,2,1,1,0,2,2,1,1,0,2,4,4,10
72,1963,1,0,0,0,1,2,1,1,2,4,0,1,1,1,6,5,13
73,1964,0,0,0,0,1,0,1,3,2,2,2,1,0,1,6,5,12
74,1965,0,0,0,0,2,0,2,2,1,2,1,2,0,2,5,5,12
75,1966,0,0,0,0,1,3,2,0,2,1,4,2,0,2,7,7,16
76,1967,1,0,0,0,1,1,2,1,2,4,1,1,1,1,6,6,14
77,1968,0,0,0,0,1,1,1,3,2,1,2,1,0,1,7,4,12
78,1969,0,0,0,0,1,1,1,2,2,2,1,2,0,1,6,5,12
79,1970,0,0,0,0,2,2,1,1,2,1,2,0,0,2,6,3,11
80,1971,0,0,0,0,1,2,1,1,2,2,1,0,0,1,6,3,10
81,1972,0,0,0,0,0,0,2,2,1,1,2,3,0,1,5,6,12
82,1973,0,0,0,0,0,0,3,1,0,1,2,3,0,0,4,6,10
83,1974,0,0,0,0,1,1,0,2,1,2,1,0,0,1,4,3,8
84,1975,1,0,0,0,1,3,0,2,1,2,3,0,1,1,6,5,13
85,1976,0,0,0,0,0,0,0,2,1,1,3,1,0,1,3,5,9
86,1977,0,0,0,0,1,0,2,3,2,1,3,0,0,1,7,4,12
87,1978,0,0,0,0,1,1,1,2,1,2,2,0,0,1,5,4,10
88,1979,0,0,0,0,1,2,1,2,0,1,1,0,0,1,5,2,8
89,1980,0,0,0,0,1,0,0,1,1,2,0,2,0,1,2,4,7
90,1981,0,0,0,0,0,1,0,3,2,1,2,1,0,0,6,4,10
91,1982,0,0,0,0,2,0,1,3,2,2,1,1,0,2,6,4,12
92,1983,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,3,4
93,1984,0,0,0,0,0,0,1,1,0,1,2,0,0,0,2,3,5
94,1985,0,0,0,0,1,0,0,3,1,3,2,1,0,1,4,6,11
95,1986,1,0,0,0,0,0,0,2,1,0,1,0,1,0,3,1,5
96,1987,1,0,0,0,0,1,0,0,0,2,1,1,1,0,1,4,6
97,1988,0,0,0,0,0,1,1,1,0,2,2,1,0,0,3,5,8
98,1989,0,0,0,0,1,2,1,1,0,1,3,0,0,1,4,4,9
99,1990,0,0,0,0,1,1,0,2,0,2,1,1,0,1,3,4,8
100,1991,0,0,0,0,1,0,1,1,1,2,1,0,0,2,3,3,8
101,1992,0,0,0,0,1,1,1,0,0,2,3,0,0,1,2,5,8
102,1993,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,3,4
103,1994,0,0,0,1,0,0,0,1,0,2,1,0,0,2,1,3,6
104,1995,0,0,0,0,3,0,0,0,2,0,2,0,0,3,2,2,7
105,1996,0,0,0,0,1,1,0,0,0,2,2,0,0,1,1,4,6
106,1997,0,0,0,0,1,1,1,3,1,0,1,0,0,1,6,1,8
107,1998,0,0,0,0,1,1,0,0,0,2,2,0,0,1,1,4,6
108,1999,0,1,0,0,0,1,1,1,0,2,0,1,1,0,3,3,7
109,2000,0,0,0,1,0,0,0,1,0,2,1,1,0,1,1,4,6
110,2001,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,3
111,2002,0,0,0,0,1,0,0,0,0,1,2,1,0,1,0,4,5
112,2003,0,0,0,0,1,0,1,1,0,2,0,1,0,1,2,3,6
113,2004,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,3
114,2005,1,0,0,0,0,0,1,0,2,1,2,2,1,0,3,5,9
115,2006,1,0,0,0,0,0,1,4,2,1,0,0,1,1,7,1,10
116,2007,0,0,0,0,2,2,1,1,1,1,1,0,0,2,5,2,9
117,2008,0,0,0,0,0,1,0,1,1,1,1,1,0,1,3,3,7
118,2009,0,0,0,0,1,0,1,0,1,0,0,1,0,2,2,1,5
119,2010,0,0,0,0,2,0,0,0,0,3,1,1,0,2,0,5,7
120,2011,0,1,0,0,0,1,0,0,1,1,0,0,1,0,2,1,4
121,2012,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,3
122,2013,0,0,0,0,2,0,1,0,0,1,3,1,0,2,1,5,8
123,2014,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,2,5
124,2015,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,1,3
125,2016,0,0,0,0,1,0,0,1,0,1,2,1,0,1,1,4,6
